year,Population,council,waste_pp,garbage_pp,recycle_pp,organic_pp,collect_type,amount,diversion_rate
2002,130000,Greater Dandenong City Council,0.333811077,0.244784615,0.086084615,0.002941846,total_recycle_actual,8447,0.266697146
2002,130000,Greater Dandenong City Council,0.333811077,0.244784615,0.086084615,0.002941846,organic_collect,382.44,0.266697146
2002,130000,Greater Dandenong City Council,0.333811077,0.244784615,0.086084615,0.002941846,aluminium_collect,58,0.266697146
2002,130000,Greater Dandenong City Council,0.333811077,0.244784615,0.086084615,0.002941846,steel_collect,288,0.266697146
2002,130000,Greater Dandenong City Council,0.333811077,0.244784615,0.086084615,0.002941846,paper_collect,6259,0.266697146
2002,130000,Greater Dandenong City Council,0.333811077,0.244784615,0.086084615,0.002941846,plastic_collect,480,0.266697146
2002,130000,Greater Dandenong City Council,0.333811077,0.244784615,0.086084615,0.002941846,total_glass_collect,1362,0.266697146
2002,193582,Greater Geelong City Council,0.325504024,0.265654865,0.05984916,0,total_garbage_collect,51426,0.183866113
2002,193582,Greater Geelong City Council,0.325504024,0.265654865,0.05984916,0,total_recycle_actual,11268.92,0.183866113
2002,193582,Greater Geelong City Council,0.325504024,0.265654865,0.05984916,0,organic_collect,0,0.183866113
2002,193582,Greater Geelong City Council,0.325504024,0.265654865,0.05984916,0,aluminium_collect,105,0.183866113
2002,193582,Greater Geelong City Council,0.325504024,0.265654865,0.05984916,0,steel_collect,265,0.183866113
2002,193582,Greater Geelong City Council,0.325504024,0.265654865,0.05984916,0,paper_collect,7102.8,0.183866113
2002,193582,Greater Geelong City Council,0.325504024,0.265654865,0.05984916,0,plastic_collect,364.12,0.183866113
2002,193582,Greater Geelong City Council,0.325504024,0.265654865,0.05984916,0,total_glass_collect,3432,0.183866113
2002,57202,Greater Shepparton City Council,0.362050278,0.291370931,0.070679347,0,total_garbage_collect,16667,0.195219701
2002,57202,Greater Shepparton City Council,0.362050278,0.291370931,0.070679347,0,total_recycle_actual,4035,0.195219701
2002,57202,Greater Shepparton City Council,0.362050278,0.291370931,0.070679347,0,organic_collect,0,0.195219701
2002,57202,Greater Shepparton City Council,0.362050278,0.291370931,0.070679347,0,aluminium_collect,69,0.195219701
2002,57202,Greater Shepparton City Council,0.362050278,0.291370931,0.070679347,0,steel_collect,154,0.195219701
2002,57202,Greater Shepparton City Council,0.362050278,0.291370931,0.070679347,0,paper_collect,2575,0.195219701
