street_name,council_name,green_frequency,green_next,landfill_frequency,landfill_next,recycle_frequency,recycle_next
Newington Drive,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Morphetville Street,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Dodge Terrace Driveway Link,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Dodge Terrace,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Murrayfield Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Howden Street,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Mcallister Drive,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Sinatra Way,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Saloon Circuit,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Clarence Place Extended Driveway,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Clarence Place,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Haddington Way,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Rosyth Way,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Freiberger Grove,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Prendergast Avenue,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Fleuve Rise,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Berwick-Cranbourne Road,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Mossbank Road,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Shelby Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Cedarbank Court,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Clapton Court,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Gwenton Avenue,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Cups Court,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Bankton Avenue,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Pinebank Avenue,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Tawleed Grove,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Falabela Road,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Lusitano Way,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Pony Court,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Marley Mews,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Shelburn Way,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
